"Latest: Time (s)","Latest: Temperature (°C)"
0,85.305428034
2,84.8222840654
4,84.4781389731
6,84.1373214528
8,83.8207667924
10,83.4737204851
12,83.1671502044
14,82.8795728366
16,82.5577972413
18,82.2429294077
20,81.9188751823
22,81.6095851711
24,81.2951264608
26,81.0377663093
28,80.7282773434
30,80.4138025968
32,80.098275951
34,79.8192810586
36,79.5163546223
38,79.227035068
40,78.9326869461
42,78.6698076541
44,78.3907693462
46,78.0887932586
48,77.8106174999
50,77.5345527394
52,77.2780655827
54,76.8914855945
56,76.6153814573
58,76.3345171823
60,76.0490132946
62,75.7623488812
64,75.5346123328
66,75.2320288571
68,74.9614755904
70,74.6961471725
72,74.435942538
74,74.1711084529
76,73.8953626503
78,73.6597119373
80,73.3750954425
82,73.1176458206
84,72.8743810527
86,72.6079754927
88,72.3526348493
90,72.0898716152
92,71.8803597565
94,71.6298606871
96,71.3780119652
98,71.1545444586
100,70.9176112174
102,70.5737149289
104,70.3490594059
106,70.1228156157
108,69.8720226678
110,69.6571202464
112,69.4291974381
114,69.194133278
116,68.9717087828
118,68.7700917924
120,68.5472859423
122,68.320217532
124,68.0862195572
126,67.8727091257
128,67.6902272315
130,67.4464202148
132,67.2443871464
134,67.0487234141
136,66.8353958262
138,66.633785325
140,66.4200235313
142,66.2440652572
144,66.0401839825
146,65.842517955
148,65.6432328767
150,65.4243759951
152,65.2194654508
154,64.9723871501
156,64.7722576907
158,64.5756169436
160,64.4099615782
162,64.2225232157
164,64.0533126421
166,63.8922124634
168,63.7317366031
170,63.5816985541
172,63.4297535497
174,63.2807980044
176,63.1542377107
178,63.0377516935
180,62.8950131103
182,62.7816523542
184,62.6541854558
186,62.543865543
188,62.4625097054
190,62.3789243436
192,62.2740793309
194,62.2003667425
196,62.1220389982
198,62.0462225373
200,61.9634527845
202,61.8949938421
204,61.8054551483
206,61.7442999163
208,61.6644595666
210,61.5964780416
212,61.5239273111
214,61.4468306013
216,61.3745323869
218,61.3000293787
220,61.2349449531
222,61.1630017743
224,61.0819196619
226,61.0240970027
228,60.9432750759
230,60.855696207
232,60.7774859939
234,60.704005004
236,60.6008822693
238,60.5322693903
240,60.4569198863
242,60.3999235125
244,60.3179792811
246,60.2702493626
248,60.1885476263
250,60.1183153008
252,60.0210821285
254,59.9443522269
256,59.8497526959
258,59.7576011176
260,59.6678822844
262,59.585054271
264,59.4845260091
266,59.3998127074
268,59.2908152168
270,59.1998180964
272,59.1090064987
274,59.0073398529
276,58.9125123221
278,58.8134888143
280,58.7190701878
282,58.616094888
284,58.5220893676
286,58.43045884
288,58.3237909577
290,58.1891826934
292,58.0917327277
294,57.9815414002
296,57.878074883
298,57.7748424109
300,57.6739859395
302,57.6054445505
304,57.5070953295
306,57.4494664947
308,57.3684812999
310,57.3046459977
312,57.2302829053
314,57.1390860195
316,57.0628730613
318,56.9635609354
320,56.8834209556
322,56.7929023609
324,56.7109558178
326,56.6333443656
328,56.5558614814
330,56.4680629444
332,56.3929375738
334,56.2950375554
336,56.2284984931
338,56.1371602535
340,56.0439283839
342,55.9694748504
344,55.8806971393
346,55.8023802521
348,55.6789837047
350,55.6071495134
352,55.5292801446
354,55.4699386233
356,55.3780020973
358,55.3086554729
360,55.2373734978
362,55.1540056356
364,55.0829516899
366,54.9897249916
368,54.9249772895
370,54.8320535362
372,54.7634847346
374,54.6929998975
376,54.6005172756
378,54.5122190613
380,54.4440974886
382,54.3540817525
384,54.2801920959
386,54.1944593693
388,54.1287653665
390,54.0611718377
392,53.9718514654
394,53.9064519349
396,53.8292723851
398,53.7502379766
400,53.6811854655
402,53.6181351596
404,53.5531976372
406,53.4667449355
408,53.4039636056
410,53.3216818316
412,53.2532161608
414,53.1965577203
416,53.1263113129
418,53.0581094763
420,52.9958336457
422,52.9336340441
424,52.8559912732
426,52.7978366882
428,52.7184656781
430,52.6566030068
432,52.5909556221
434,52.5041982162
436,52.4406689697
438,52.361847597
440,52.3080874209
442,52.2294678162
444,52.1701028078
446,52.1069823046
448,52.040119932
450,51.9771567745
452,51.9237930076
454,51.8628724941
456,51.82103074
458,51.6938088411
460,51.6426272609
462,51.6047470302
464,51.5555433872
466,51.5026060909
468,51.4610496637
470,51.3931185293
472,51.3497636132
474,51.2895025614
476,51.2349499115
478,51.1785748768
480,51.1222593607
482,51.0547589962
484,50.9967018175
486,50.9499272653
488,50.8751726178
490,50.8154436026
492,50.7706902466
494,50.7129386964
496,50.6626891851
