"Latest: Time (s)","Latest: Temperature (°C)","Latest: dT/dt"
0,85.6135634758,-0.292849931047
2,84.986938793,-0.267336040101
4,84.4995498392,-0.239261643662
6,84.0526290131,-0.220897296599
8,83.6280072711,-0.208082121133
10,83.2290787171,-0.201501093656
12,82.8264214613,-0.197538747754
14,82.4363638691,-0.19307338756
16,82.0545388162,-0.188465219629
18,81.6846781715,-0.184688357006
20,81.3068688095,-0.17708726225
22,80.9834121376,-0.172724293031
24,80.6167450117,-0.168867255743
26,80.3108567057,-0.166459303428
28,79.9509682956,-0.164554375769
30,79.6469361868,-0.160084126508
32,79.32321726,-0.16103348891
34,78.9913650074,-0.15724113495
36,78.6989223184,-0.15545843581
38,78.3727240504,-0.155000259226
40,78.0708974628,-0.151692457349
42,77.7786568131,-0.155238338751
44,77.453546879,-0.160477048899
46,77.1522395322,-0.170894740864
48,76.7393707371,-0.167586005229
50,76.4507122349,-0.15087165866
52,76.1778951323,-0.150776789571
54,75.8531653524,-0.15366547834
56,75.5412904381,-0.148641114724
58,75.2684735226,-0.147149037882
60,74.9516146813,-0.144917490961
62,74.689619796,-0.143135905111
64,74.3808828852,-0.142165649313
66,74.1100122013,-0.136497885131
68,73.8474753989,-0.136412804832
70,73.5614329716,-0.135170641417
72,73.3089948018,-0.135186747747
74,73.0207751656,-0.135108286862
76,72.7626331842,-0.132547537537
78,72.4970132616,-0.132601336751
80,72.2301924332,-0.131680952775
82,71.9682745107,-0.130391687224
84,71.7111672794,-0.130035339557
86,71.4527930383,-0.131270051312
88,71.1783187582,-0.130217766121
90,70.9294230901,-0.128365547728
92,70.6909396913,-0.136860872282
94,70.3636076481,-0.137196837215
96,70.1228156157,-0.12881929869
98,69.8576586395,-0.123786908269
100,69.6285565109,-0.119326119469
102,69.395124203,-0.121846896465
104,69.1320645744,-0.120954757333
106,68.9071900987,-0.118449579886
108,68.6696721211,-0.120278649617
110,68.4169762196,-0.118486313836
112,68.196162789,-0.116887634489
114,67.9546916987,-0.117375621136
116,67.7201291671,-0.115399648815
118,67.5004699656,-0.116331614736
120,67.2524487584,-0.116045997781
122,67.0273391946,-0.11233465804
124,66.8114677186,-0.111875755129
126,66.583541143,-0.112686315929
128,66.3516496142,-0.11035608201
130,66.1419954933,-0.107892620432
132,65.933428055,-0.110656762943
134,65.689731128,-0.109934360968
136,65.4886231253,-0.108136619221
138,65.2757129655,-0.113915768072
140,65.0384675752,-0.121296828776
142,64.7672038113,-0.118440351763
144,64.5504746548,-0.108943954113
146,64.3473872554,-0.105568002838
148,64.1378312123,-0.106776201411
150,63.9120063612,-0.105554666588
152,63.7169547037,-0.104701342711
154,63.4983052108,-0.105644722364
156,63.2856733717,-0.103157354378
158,63.0886744556,-0.102002841235
160,62.8829389069,-0.102680105529
162,62.6734010332,-0.101492625949
164,62.4720728508,-0.0982594622917
166,62.283599977,-0.0964086462208
168,62.0912222441,-0.0969493782028
170,61.8973526648,-0.0985003508292
172,61.6973169445,-0.0998445077944
174,61.4935393313,-0.0992278906819
176,61.2953772246,-0.0965136859375
178,61.1166504758,-0.0973209324806
180,60.9063781611,-0.0983988324861
182,60.713183327,-0.0957271390778
184,60.5322693903,-0.0964682240403
186,60.3293512344,-0.0978793298264
188,60.1318998724,-0.0959736393292
190,59.9488620444,-0.0952051766389
192,59.7553559225,-0.0958255020917
194,59.5582244087,-0.0937152328472
196,59.3797726985,-0.0913077459611
198,59.2020353268,-0.0924644176403
200,59.0051322762,-0.0918787615208
202,58.8310770112,-0.0899447091125
204,58.6511238456,-0.0901012592778
206,58.4675249783,-0.0887503477667
208,58.2933605633,-0.0863863360611
